eta,s_init,s_temporal,condition,metric,median,bootstrapSE,availableN
1,0.10000000000000001,0.20000000000000001,1,mo,56,0.37985548438702582,10
0,0.050000000000000003,0.10000000000000001,2,mo,52,2.7491189724869116,10
1,0.050000000000000003,0.10000000000000001,2,mo,55,1.3960226280106589,10
0,0.10000000000000001,0.10000000000000001,2,mo,52,2.345244915754324,10
1,0.10000000000000001,0.10000000000000001,2,mo,55,1.397890431960237,10
0,0.20000000000000001,0.10000000000000001,2,mo,52.5,2.1638894348195405,10
1,0.20000000000000001,0.10000000000000001,2,mo,54.5,1.4333816434549427,10
0,0.10000000000000001,0.050000000000000003,2,mo,53,3.1843834221325986,10
1,0.10000000000000001,0.050000000000000003,2,mo,55,1.4283088972647344,10
0,0.10000000000000001,0.20000000000000001,2,mo,51,1.4005332553495253,10
1,0.10000000000000001,0.20000000000000001,2,mo,54,1.3557589821265259,10
0,0.050000000000000003,0.10000000000000001,1,peakTime,200,0.10979638211048784,10
1,0.050000000000000003,0.10000000000000001,1,peakTime,200.75,0.3716408966604815,10
0,0.10000000000000001,0.10000000000000001,1,peakTime,200,0.10979638211048784,10
1,0.10000000000000001,0.10000000000000001,1,peakTime,200.75,0.3716408966604815,10
0,0.20000000000000001,0.10000000000000001,1,peakTime,200,0.10979638211048784,10
1,0.20000000000000001,0.10000000000000001,1,peakTime,200.75,0.3716408966604815,10
0,0.10000000000000001,0.050000000000000003,1,peakTime,200,0.28402718997389004,10
1,0.10000000000000001,0.050000000000000003,1,peakTime,200,0.38169879079804514,10
0,0.10000000000000001,0.20000000000000001,1,peakTime,203,0.38946805120739914,10
1,0.10000000000000001,0.20000000000000001,1,peakTime,201,0.11736702050299296,10
0,0.050000000000000003,0.10000000000000001,2,peakTime,232.5,27.619739276903879,10
1,0.050000000000000003,0.10000000000000001,2,peakTime,212,2.9513647402105327,10
0,0.10000000000000001,0.10000000000000001,2,peakTime,232.75,27.91384154527972,10
1,0.10000000000000001,0.10000000000000001,2,peakTime,211.5,2.9617004011718655,10
0,0.20000000000000001,0.10000000000000001,2,peakTime,237.75,21.174973680999951,10
1,0.20000000000000001,0.10000000000000001,2,peakTime,211.75,2.9914867201409474,10
0,0.10000000000000001,0.050000000000000003,2,peakTime,215.75,9.4187925096378038,10
