network,eta,condition,target,rawBias,cueDistance,biasRatio,goRms,convergence
2,0.25,1,2,1.12136623822089,3.1573697227357,0.355158355433043,2.32308905581545,-0.843051965282861
2,0.25,1,3,1.1758051913228,3.16400530140165,0.371619222888762,2.22123008736394,-0.782968323858807
2,0.25,1,4,1.18615033930481,2.2723426009664,0.521994499773209,2.19381237356622,-0.691637273069494
2,0.25,1,5,0.98170620360796,2.48081446200636,0.395719316636846,2.2397766429914,-0.806328892014129
2,0.25,1,6,0.995493818106185,2.75429593248478,0.36143313663761,2.25307403884541,-0.841297078672787
2,0.25,1,7,1.44524670466824,3.42975023039224,0.421385409310973,2.22110729127179,-0.696004350518628
2,0.25,1,8,0.759775667296349,2.83588358523589,0.267914970576322,2.18321868622586,-0.652612342273559
2,0.25,2,1,1.0694273309511,2.80925618556415,0.380679888308706,2.44010102091039,-0.933228041102712
2,0.25,2,2,1.41544138159205,2.92703994786179,0.483574329973197,2.49814949982241,-0.954751913007621
2,0.25,2,3,1.52155432273828,2.99722730643943,0.507653963871635,2.44401024770252,-0.965458426357738
